client_id,current_age,retirement_age,birth_year,birth_month,gender,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,age_group,income_group,credit_score_group,debt_to_income_ratio
1310,33,69,1986,9,Female,33.92,-78.02,17498,35670,58182,751,2,26-35,Lower Middle,Very Good,1.631
1689,21,66,1998,9,Female,41.29,-72.36,30281,61746,154817,637,2,18-25,High Income,Fair,2.507
379,47,65,1972,11,Female,30.68,-88.04,21331,43496,114563,765,3,46-55,Lower Middle,Very Good,2.634
34,41,55,1978,8,Male,38.48,-121.34,25431,51854,72162,737,2,36-45,Upper Middle,Good,1.392
822,51,68,1968,4,Female,32.61,-117.03,16942,34540,22641,793,5,46-55,Lower Middle,Very Good,0.656
1499,46,62,1973,11,Male,41.97,-88.14,20248,41287,88151,662,1,46-55,Lower Middle,Fair,2.135
1780,46,70,1973,10,Male,36.62,-121.82,18663,38054,63293,666,1,46-55,Lower Middle,Fair,1.663
1806,59,62,1961,2,Female,42.31,-71.64,39418,80371,108499,822,1,56-65,High Income,Excellent,1.35
811,91,68,1929,2,Female,38.9,-94.68,51642,84694,2149,741,7,65+,High Income,Very Good,0.025
1844,79,72,1941,2,Male,27.8,-97.39,23608,37503,14272,706,5,65+,Lower Middle,Good,0.381
1852,57,75,1962,12,Male,33.27,-111.94,32056,65357,21844,685,4,56-65,High Income,Good,0.334
1231,26,52,1994,1,Female,26.41,-81.42,10819,22066,38967,842,1,26-35,Low Income,Excellent,1.766
970,42,66,1977,11,Male,29.1,-81.0,21916,44681,42011,770,3,36-45,Lower Middle,Very Good,0.94
381,26,69,1994,2,Male,38.72,-90.47,25163,51306,68198,675,1,26-35,Upper Middle,Good,1.329
1134,18,59,2002,2,Female,29.45,-98.5,12677,25847,46379,568,1,18-25,Low Income,Poor,1.794
1296,60,64,1959,11,Female,28.7,-81.34,22896,46683,93126,788,5,56-65,Upper Middle,Very Good,1.995
1880,61,66,1958,11,Male,43.06,-87.96,15487,31579,52419,771,3,56-65,Lower Middle,Very Good,1.66
322,47,65,1972,10,Male,31.22,-84.21,13759,28055,12475,829,3,46-55,Low Income,Excellent,0.445
461,42,68,1977,12,Female,42.3,-83.48,32078,65403,80057,784,4,36-45,High Income,Very Good,1.224
1165,55,73,1964,11,Female,36.37,-84.12,13522,27572,59404,797,1,46-55,Low Income,Very Good,2.155
1448,48,70,1971,12,Female,35.05,-82.09,18899,38539,0,850,3,46-55,Lower Middle,Excellent,0.0
1288,41,57,1978,7,Female,38.47,-81.81,18666,38059,68220,634,2,36-45,Lower Middle,Fair,1.792
1178,59,68,1960,11,Female,30.56,-97.86,25872,52754,38191,693,5,56-65,Upper Middle,Good,0.724
1391,45,59,1975,2,Male,40.72,-73.86,25109,51196,67164,631,4,36-45,Upper Middle,Fair,1.312
838,26,70,1993,7,Male,33.78,-84.44,24382,49713,91776,763,1,26-35,Upper Middle,Very Good,1.846
54,21,68,1998,4,Female,41.66,-83.58,21660,44160,134173,696,3,18-25,Lower Middle,Good,3.038
1452,46,59,1973,5,Female,29.76,-95.38,95039,193773,241571,660,1,46-55,High Income,Fair,1.247
1602,41,66,1979,2,Female,40.38,-77.88,14650,29864,44902,717,2,36-45,Low Income,Good,1.504
1938,22,67,1997,7,Male,29.45,-98.5,28135,57367,115418,795,2,18-25,Upper Middle,Very Good,2.012
1492,63,58,1957,2,Female,47.32,-121.99,32697,56635,13015,786,8,56-65,Upper Middle,Very Good,0.23
688,44,67,1975,3,Male,41.31,-111.96,23165,47227,151030,760,4,36-45,Upper Middle,Very Good,3.198
749,22,68,1997,10,Male,32.75,-97.33,12051,24574,80667,674,3,18-25,Low Income,Good,3.283
643,29,65,1991,1,Female,40.69,-73.75,21283,43397,42168,697,2,26-35,Lower Middle,Good,0.972
1219,28,72,1991,6,Female,38.68,-76.17,28497,58105,70254,688,3,26-35,Upper Middle,Good,1.209
1198,82,67,1937,6,Male,29.5,-97.44,15092,10869,1820,820,2,65+,Low Income,Excellent,0.167
898,90,66,1929,6,Female,40.59,-75.47,12427,19893,1712,566,3,65+,Low Income,Poor,0.086
882,63,65,1956,8,Male,40.39,-82.47,18019,36743,71719,612,2,56-65,Lower Middle,Fair,1.952
348,49,70,1970,7,Female,40.22,-74.76,22747,46377,79980,719,3,46-55,Upper Middle,Good,1.725
633,36,69,1983,10,Female,33.88,-118.27,24611,50179,110515,743,1,36-45,Upper Middle,Very Good,2.202
1493,30,65,1989,11,Male,38.22,-122.55,26748,54537,121987,765,4,26-35,Upper Middle,Very Good,2.237
1161,23,66,1996,12,Male,28.68,-81.51,24155,49255,6557,823,2,18-25,Upper Middle,Excellent,0.133
217,42,65,1977,10,Male,41.77,-87.82,15221,31031,21853,744,7,36-45,Lower Middle,Very Good,0.704
1877,65,66,1955,1,Male,32.92,-96.45,34659,70673,87605,714,4,56-65,High Income,Good,1.24
668,87,57,1932,10,Female,33.52,-86.79,13263,16342,1758,747,5,65+,Low Income,Very Good,0.108
533,22,65,1997,9,Male,32.71,-102.65,15183,30961,42597,677,1,18-25,Lower Middle,Good,1.376
203,58,67,1961,3,Female,32.9,-80.93,14864,30305,23392,776,3,56-65,Lower Middle,Very Good,0.772
1738,30,68,1989,3,Male,35.67,-97.41,33736,68784,198417,696,4,26-35,High Income,Good,2.885
713,25,71,1994,8,Female,48.19,-114.38,17040,34745,26503,691,4,18-25,Lower Middle,Good,0.763
1631,18,67,2001,11,Female,30.44,-91.12,31741,64715,174664,740,3,18-25,High Income,Good,2.699
1487,59,69,1961,2,Female,40.69,-80.01,39464,80464,76261,727,3,56-65,High Income,Good,0.948
1265,18,67,2002,2,Female,40.43,-79.97,24400,49748,23161,748,1,18-25,Upper Middle,Very Good,0.466
370,61,58,1958,11,Male,34.07,-117.62,16113,41904,12545,655,4,56-65,Lower Middle,Fair,0.299
1014,54,70,1965,9,Female,33.6,-117.82,96516,196784,437533,729,3,46-55,High Income,Good,2.223
290,27,66,1992,3,Female,42.4,-83.6,49458,100837,61377,687,2,26-35,High Income,Good,0.609
985,32,65,1987,6,Male,42.8,-83.71,25334,51654,95454,600,4,26-35,Upper Middle,Fair,1.848
135,64,69,1955,6,Female,39.72,-82.59,18680,38088,51679,691,2,56-65,Lower Middle,Good,1.357
307,18,69,2001,8,Male,30.23,-92.81,18082,36866,0,680,2,18-25,Lower Middle,Good,0.0
1783,52,70,1967,9,Male,37.78,-122.24,18443,37607,63689,749,5,46-55,Lower Middle,Very Good,1.694
1321,49,66,1970,10,Female,40.26,-103.79,16910,34480,58795,696,1,46-55,Lower Middle,Good,1.705
1511,43,66,1977,1,Male,43.07,-89.38,23680,48279,114254,719,2,36-45,Upper Middle,Good,2.367
900,36,65,1983,7,Male,30.17,-85.67,16133,32896,69800,735,2,36-45,Lower Middle,Good,2.122
953,18,71,2001,6,Male,33.78,-117.33,14667,29909,42832,664,2,18-25,Low Income,Fair,1.432
233,37,64,1982,12,Female,44.96,-93.26,23278,47464,83591,716,1,36-45,Upper Middle,Good,1.761
406,23,64,1996,5,Female,37.3,-122.0,41750,85128,108678,641,1,18-25,High Income,Fair,1.277
1069,54,69,1965,9,Male,35.3,-81.03,22487,45852,114746,615,2,46-55,Upper Middle,Fair,2.503
180,33,67,1986,7,Female,33.53,-112.18,13024,26556,43042,840,2,26-35,Low Income,Excellent,1.621
996,63,67,1956,11,Female,26.02,-80.16,19712,40194,107765,738,6,56-65,Lower Middle,Good,2.681
1866,22,67,1998,2,Male,32.85,-96.96,30475,62135,75209,676,2,18-25,High Income,Good,1.21
1981,48,65,1972,1,Male,26.63,-81.99,19274,39303,23650,702,7,46-55,Lower Middle,Good,0.602
870,63,64,1956,3,Female,38.64,-76.9,35114,71593,132181,821,3,56-65,High Income,Excellent,1.846
16,75,67,1944,12,Male,41.88,-87.84,15451,22158,19101,681,5,65+,Low Income,Good,0.862
46,62,66,1957,6,Male,40.66,-73.84,26481,53996,98211,632,4,56-65,Upper Middle,Fair,1.819
800,28,73,1991,10,Female,30.44,-87.18,12766,26025,23971,723,4,26-35,Low Income,Good,0.921
1968,25,69,1994,11,Female,40.94,-73.86,31299,63816,100128,775,1,18-25,High Income,Very Good,1.569
697,56,73,1964,1,Female,35.72,-78.84,32485,66230,90248,742,3,56-65,High Income,Very Good,1.363
1269,56,56,1963,10,Male,41.83,-87.68,25365,36335,28929,676,2,56-65,Lower Middle,Good,0.796
1782,59,61,1961,2,Female,33.74,-117.99,19438,39633,58586,777,3,56-65,Lower Middle,Very Good,1.478
1977,43,69,1976,8,Female,41.5,-87.5,28048,57185,0,773,3,36-45,Upper Middle,Very Good,0.0
1734,37,69,1982,11,Male,33.95,-84.54,40530,82637,84762,739,2,36-45,High Income,Good,1.026
1913,60,57,1960,1,Female,42.47,-83.49,34259,31121,32768,619,5,56-65,Lower Middle,Fair,1.053
858,47,67,1972,11,Male,29.5,-97.44,15092,30774,51428,700,3,46-55,Lower Middle,Good,1.671
606,48,67,1971,12,Male,39.4,-88.8,16300,33236,57549,747,1,46-55,Lower Middle,Very Good,1.732
1564,35,65,1984,10,Male,35.2,-101.81,18613,37947,49951,683,3,26-35,Lower Middle,Good,1.316
1109,24,65,1995,11,Male,37.68,-97.34,21518,43875,128146,639,1,18-25,Lower Middle,Fair,2.921
1301,26,66,1993,5,Female,38.1,-122.63,30335,61850,81158,728,9,26-35,High Income,Good,1.312
1399,28,71,1991,5,Male,32.08,-81.1,19770,40314,131348,707,4,26-35,Lower Middle,Good,3.258
1775,26,67,1993,8,Male,38.91,-75.43,18622,37968,55982,788,3,26-35,Lower Middle,Very Good,1.474
1673,41,67,1978,11,Male,43.46,-85.95,17145,34954,45456,772,3,36-45,Lower Middle,Very Good,1.3
1957,40,74,1979,9,Male,34.15,-118.6,47055,95945,222735,772,2,36-45,High Income,Very Good,2.321
1033,18,58,2002,2,Female,43.07,-82.49,16598,33844,42109,684,2,18-25,Lower Middle,Good,1.244
1024,66,67,1953,4,Male,37.69,-97.13,32162,65573,143069,739,4,65+,High Income,Good,2.182
1441,40,66,1979,7,Male,43.07,-89.38,23840,48609,43520,737,3,36-45,Upper Middle,Good,0.895
1103,45,70,1974,5,Female,47.09,-116.46,12618,25723,34007,746,3,36-45,Low Income,Very Good,1.322
431,19,72,2000,3,Female,30.62,-87.89,25495,51984,79152,691,3,18-25,Upper Middle,Good,1.523
165,34,65,1986,2,Male,37.83,-122.22,52813,107683,225017,694,3,26-35,High Income,Good,2.09
353,24,69,1996,2,Female,33.83,-117.2,16109,32847,33514,721,2,18-25,Lower Middle,Good,1.02
1758,57,66,1963,1,Male,32.32,-90.2,11061,22556,43260,645,4,56-65,Low Income,Fair,1.918
1266,35,54,1984,9,Female,39.51,-76.17,22590,46063,106528,618,1,26-35,Upper Middle,Fair,2.313
1943,19,65,2000,9,Female,41.71,-72.83,46762,95348,71972,706,3,18-25,High Income,Good,0.755
792,28,65,1992,1,Female,38.71,-95.08,22158,45180,13168,698,2,26-35,Upper Middle,Good,0.291
1055,37,69,1982,4,Male,28.5,-81.37,15137,30865,55079,594,1,36-45,Lower Middle,Fair,1.785
1159,20,69,1999,11,Male,43.05,-82.67,20377,41543,49021,732,4,18-25,Lower Middle,Good,1.18
1115,53,73,1966,9,Male,32.32,-95.3,14811,30198,40950,693,6,46-55,Lower Middle,Good,1.356
38,45,64,1974,12,Female,26.63,-81.85,19621,40006,72794,621,1,36-45,Lower Middle,Fair,1.82
1027,53,68,1966,5,Male,38.88,-94.81,30232,61646,0,693,3,46-55,High Income,Good,0.0
11,39,67,1980,10,Female,39.45,-76.81,33175,67643,0,714,6,36-45,High Income,Good,0.0
871,86,71,1933,5,Female,42.38,-83.1,13820,22650,0,690,6,65+,Low Income,Good,0.0
746,63,67,1956,10,Male,40.64,-73.94,14856,30288,42745,689,4,56-65,Lower Middle,Good,1.411
1520,67,65,1952,10,Male,37.72,-122.44,22549,47213,1082,789,5,65+,Upper Middle,Very Good,0.023
1372,76,66,1943,10,Female,34.95,-96.75,15005,28215,18116,697,2,65+,Low Income,Good,0.642
1799,32,55,1987,4,Male,47.75,-122.04,51751,105515,192458,646,4,26-35,High Income,Fair,1.824
1905,36,68,1983,12,Male,27.48,-82.57,13972,28489,6087,808,4,36-45,Low Income,Excellent,0.214
130,63,69,1956,9,Female,35.19,-80.83,39752,81048,156195,781,4,56-65,High Income,Very Good,1.927
1990,19,62,2000,12,Female,38.77,-76.06,23180,47263,74853,726,2,18-25,Upper Middle,Good,1.584
593,19,71,2000,7,Male,40.52,-122.32,16585,33816,77770,635,1,18-25,Lower Middle,Fair,2.3
540,25,69,1994,9,Female,42.37,-87.86,15770,32160,62803,634,1,18-25,Lower Middle,Fair,1.953
1155,83,65,1936,8,Female,31.5,-111.06,15462,29494,1196,689,5,65+,Low Income,Good,0.041
663,68,63,1951,3,Female,35.92,-86.84,36563,70554,39078,655,5,65+,High Income,Fair,0.554
1987,63,62,1956,9,Male,42.13,-87.92,23098,33686,24997,488,2,56-65,Lower Middle,Poor,0.742
1484,92,72,1927,8,Female,32.28,-110.73,30818,57732,2261,726,6,65+,Upper Middle,Good,0.039
417,21,65,1998,3,Male,35.1,-90.0,10730,21879,69638,762,1,18-25,Low Income,Very Good,3.183
298,28,65,1991,5,Male,40.79,-77.85,25031,51041,106989,686,1,26-35,Upper Middle,Good,2.096
306,18,69,2002,1,Male,42.28,-71.16,34519,70380,106797,725,2,18-25,High Income,Good,1.517
607,25,64,1994,8,Male,41.92,-87.81,20902,42617,67590,771,5,18-25,Lower Middle,Very Good,1.586
1769,75,65,1944,7,Male,39.69,-74.25,21861,46031,8332,661,5,65+,Upper Middle,Fair,0.181
698,55,66,1964,10,Female,42.62,-73.83,31927,65094,23909,699,3,46-55,High Income,Good,0.367
896,27,65,1993,2,Female,38.04,-84.45,18278,37268,50388,626,1,26-35,Lower Middle,Fair,1.352
1975,53,67,1967,2,Female,41.55,-73.03,19114,38972,44098,738,3,46-55,Lower Middle,Good,1.132
645,63,64,1957,2,Female,33.91,-118.23,13075,26661,42667,750,5,56-65,Low Income,Very Good,1.6
227,48,66,1971,9,Male,44.96,-93.26,40364,82295,1555,736,4,46-55,High Income,Good,0.019
84,47,68,1972,9,Male,36.49,-81.5,12630,25748,41455,738,3,46-55,Low Income,Good,1.61
1684,56,65,1963,11,Male,36.34,-83.28,13668,27861,108313,782,5,56-65,Low Income,Very Good,3.888
745,18,72,2001,12,Male,34.06,-117.17,23820,48561,0,752,1,18-25,Upper Middle,Very Good,0.0
1508,66,69,1953,4,Female,39.16,-86.52,19125,38999,64875,747,4,65+,Lower Middle,Very Good,1.664
1158,62,66,1957,4,Male,35.78,-78.11,16239,33112,56040,716,2,56-65,Lower Middle,Good,1.692
1427,34,66,1985,10,Female,35.19,-80.83,49477,100880,210445,770,1,26-35,High Income,Very Good,2.086
352,22,65,1997,11,Male,34.21,-119.18,18175,37058,50548,680,2,18-25,Lower Middle,Good,1.364
1948,24,58,1995,3,Male,38.95,-76.95,23166,47234,89154,685,3,18-25,Upper Middle,Good,1.887
724,45,72,1974,5,Female,35.97,-96.76,17237,35142,107898,731,4,36-45,Lower Middle,Good,3.07
543,43,65,1976,3,Female,43.37,-124.14,15069,30721,49961,749,3,36-45,Lower Middle,Very Good,1.626
1559,56,67,1963,12,Female,34.05,-84.67,28862,58846,126806,746,3,56-65,Upper Middle,Very Good,2.155
1199,29,68,1990,6,Male,42.93,-75.38,19161,39069,63884,720,2,26-35,Lower Middle,Good,1.635
1745,20,65,2000,2,Female,33.94,-83.99,24252,49449,30723,728,3,18-25,Upper Middle,Good,0.621
1950,39,73,1980,3,Female,36.69,-84.47,10942,22312,39445,720,5,36-45,Low Income,Good,1.768
1397,32,72,1987,4,Male,36.88,-94.87,17845,36388,92949,710,4,26-35,Lower Middle,Good,2.554
873,52,68,1967,8,Female,28.24,-81.28,22086,45037,31792,710,3,46-55,Upper Middle,Good,0.706
1728,47,63,1972,10,Female,44.35,-89.07,18937,38615,74337,601,4,46-55,Lower Middle,Fair,1.925
299,40,61,1979,7,Male,40.84,-73.87,13845,28229,55675,622,5,36-45,Low Income,Fair,1.972
1742,58,67,1961,11,Female,40.05,-86.03,24638,50232,1218,751,4,56-65,Upper Middle,Very Good,0.024
1004,59,66,1960,5,Male,37.2,-87.17,16847,34350,61639,705,3,56-65,Lower Middle,Good,1.794
301,47,69,1972,11,Male,34.24,-84.49,25654,52308,135319,679,1,46-55,Upper Middle,Good,2.587
1011,27,66,1992,8,Female,27.75,-82.64,15724,32061,58904,676,1,26-35,Lower Middle,Good,1.837
906,75,69,1945,2,Male,40.57,-112.33,21749,21154,5764,705,6,65+,Low Income,Good,0.272
110,52,72,1967,10,Female,30.26,-97.74,25594,52186,42852,737,4,46-55,Upper Middle,Good,0.821
1073,43,70,1976,5,Female,41.19,-85.7,17294,35264,70328,770,2,36-45,Lower Middle,Very Good,1.994
705,84,71,1935,9,Female,37.91,-122.01,42234,79870,4031,609,2,65+,High Income,Fair,0.05
820,70,59,1949,12,Female,41.7,-70.3,26762,41902,29713,633,5,65+,Lower Middle,Fair,0.709
1188,24,61,1995,8,Female,36.3,-115.24,31374,63969,128412,626,1,18-25,High Income,Fair,2.007
1128,47,68,1972,7,Male,44.53,-72.0,16976,34606,23909,680,5,46-55,Lower Middle,Good,0.691
1479,32,60,1987,11,Male,33.72,-84.42,13059,26631,33950,805,1,26-35,Low Income,Excellent,1.275
1594,39,64,1980,11,Male,27.98,-80.66,17645,35978,49366,643,3,36-45,Lower Middle,Fair,1.372
1485,64,69,1955,10,Male,33.41,-96.57,24402,49756,89743,618,4,56-65,Upper Middle,Fair,1.804
1390,37,71,1982,6,Male,36.17,-86.78,29868,60897,85771,850,3,36-45,High Income,Excellent,1.408
644,58,65,1961,3,Female,34.42,-84.11,20581,41963,53857,741,1,56-65,Lower Middle,Very Good,1.283
1912,37,60,1982,7,Female,44.96,-93.26,22059,44976,134335,684,1,36-45,Lower Middle,Good,2.987
1584,27,69,1992,9,Male,32.69,-97.01,22922,46733,34333,692,2,26-35,Upper Middle,Good,0.735
1803,26,60,1993,4,Female,41.66,-70.34,23129,47160,64193,578,1,26-35,Upper Middle,Poor,1.361
1824,23,65,1996,7,Male,40.44,-86.91,24737,50433,97029,838,3,18-25,Upper Middle,Excellent,1.924
340,20,63,1999,8,Male,47.3,-122.37,25363,51713,86165,809,1,18-25,Upper Middle,Excellent,1.666
650,45,65,1974,8,Male,32.75,-97.33,11876,24215,28552,707,6,36-45,Low Income,Good,1.179
762,49,59,1970,9,Male,40.63,-82.96,18293,37298,52134,683,1,46-55,Lower Middle,Good,1.398
1061,25,67,1994,12,Male,33.44,-111.8,19844,40457,68826,739,1,18-25,Lower Middle,Good,1.701
1931,58,72,1961,6,Male,42.41,-71.16,40694,82974,181429,503,2,56-65,High Income,Poor,2.187
702,46,68,1973,7,Female,40.84,-73.4,34873,71103,136853,721,4,46-55,High Income,Good,1.925
918,43,75,1976,5,Female,40.32,-80.21,14320,29194,10895,703,2,36-45,Low Income,Good,0.373
1137,52,67,1967,10,Male,35.32,-82.46,16410,33465,98713,669,3,46-55,Lower Middle,Fair,2.95
66,20,71,1999,6,Female,41.23,-80.81,15361,31314,40331,721,4,18-25,Lower Middle,Good,1.288
1406,36,68,1983,7,Male,36.12,-95.91,11633,23718,1386,712,2,36-45,Low Income,Good,0.058
437,46,66,1973,6,Female,39.04,-76.49,35645,72670,28915,718,3,46-55,High Income,Good,0.398
806,24,67,1995,4,Female,40.11,-83.13,38243,77972,6128,686,3,18-25,High Income,Good,0.079
891,38,66,1981,10,Female,35.44,-94.35,17093,34854,40722,746,5,36-45,Lower Middle,Very Good,1.168
1191,25,69,1994,12,Female,45.19,-123.24,18098,36902,60538,711,1,18-25,Lower Middle,Good,1.641
701,28,59,1991,12,Female,27.75,-82.64,26476,53984,76118,701,1,26-35,Upper Middle,Good,1.41
1147,80,69,1939,3,Male,40.6,-74.76,46827,104692,6955,704,2,65+,High Income,Good,0.066
1625,24,66,1995,5,Female,47.67,-122.18,49629,101191,290730,659,1,18-25,High Income,Fair,2.873
1664,38,66,1981,10,Male,42.27,-83.73,34119,69566,50003,791,4,36-45,High Income,Very Good,0.719
1273,21,71,1998,4,Male,41.88,-87.97,24223,49382,43126,762,1,18-25,Upper Middle,Very Good,0.873
1009,41,65,1979,1,Female,36.01,-82.15,14093,28733,0,702,3,36-45,Low Income,Good,0.0
1341,87,72,1932,8,Male,41.15,-85.48,19914,30349,2985,686,4,65+,Lower Middle,Good,0.098
925,31,68,1988,3,Male,38.76,-89.97,28710,58538,93153,610,1,26-35,Upper Middle,Fair,1.591
824,32,66,1987,8,Female,27.75,-82.64,18100,36901,23293,695,4,26-35,Lower Middle,Good,0.631
563,70,65,1950,1,Male,39.87,-75.92,24725,49531,6707,737,6,65+,Upper Middle,Good,0.135
1612,68,66,1951,8,Male,41.83,-87.68,20649,35370,14777,562,1,65+,Lower Middle,Poor,0.418
1700,45,62,1975,1,Female,40.81,-81.93,18962,38666,116783,822,1,36-45,Lower Middle,Excellent,3.02
963,24,70,1995,12,Female,42.63,-71.32,20458,41714,54541,687,3,18-25,Lower Middle,Good,1.307
904,32,66,1987,8,Male,37.96,-76.51,12018,24505,52405,759,1,26-35,Low Income,Very Good,2.139
1586,43,65,1977,1,Male,40.66,-73.7,27778,56640,104134,672,4,36-45,Upper Middle,Good,1.839
1286,53,67,1966,10,Female,42.76,-78.74,30202,61578,85383,602,2,46-55,High Income,Fair,1.387
719,53,66,1966,11,Female,42.27,-89.06,24589,50139,109623,767,3,46-55,Upper Middle,Very Good,2.186
1469,21,68,1998,12,Male,39.12,-97.7,16990,34646,54205,759,1,18-25,Lower Middle,Very Good,1.565
930,22,65,1998,1,Male,32.75,-97.33,12274,25024,29227,691,2,18-25,Low Income,Good,1.168
1814,41,68,1979,1,Female,41.83,-87.68,16114,32856,26535,703,3,36-45,Lower Middle,Good,0.808
1723,41,66,1978,10,Female,39.16,-89.48,17696,36080,80443,839,3,36-45,Lower Middle,Excellent,2.23
1377,32,68,1987,11,Female,32.91,-96.62,14535,29637,56446,569,3,26-35,Low Income,Poor,1.905
470,56,65,1964,2,Male,35.14,-96.49,14004,28553,94214,747,3,56-65,Low Income,Very Good,3.3
1804,18,65,2001,9,Male,41.56,-70.55,21335,43499,108468,701,4,18-25,Lower Middle,Good,2.494
229,35,57,1984,6,Female,41.8,-91.49,29059,59248,173887,725,5,26-35,Upper Middle,Good,2.935
1512,44,65,1975,6,Male,39.77,-86.14,32865,67008,81402,778,8,36-45,High Income,Very Good,1.215
1543,31,68,1988,10,Female,34.14,-118.46,51976,105963,106266,684,4,26-35,High Income,Good,1.003
147,30,66,1989,4,Male,32.35,-86.28,27653,56383,130152,800,4,26-35,Upper Middle,Very Good,2.308
1941,38,78,1981,8,Male,33.14,-95.95,18934,38609,27463,740,3,36-45,Lower Middle,Good,0.711
901,48,66,1971,9,Male,30.44,-87.18,17987,36671,39882,850,3,46-55,Lower Middle,Excellent,1.088
191,28,65,1991,10,Male,33.71,-84.53,19550,39860,112825,728,1,26-35,Lower Middle,Good,2.831
12,18,63,2002,2,Female,38.06,-78.9,18531,37785,58187,748,1,18-25,Lower Middle,Very Good,1.54
1828,50,68,1969,6,Male,41.83,-87.68,0,2466,5521,711,2,46-55,Low Income,Good,2.239
29,68,60,1951,8,Female,42.47,-70.96,18682,27358,13557,665,2,65+,Low Income,Fair,0.496
181,26,65,1994,1,Female,33.86,-84.68,25025,51024,181184,602,1,26-35,Upper Middle,Fair,3.551
995,40,64,1979,5,Female,35.46,-97.51,49868,101679,307856,592,1,36-45,High Income,Fair,3.028
1218,20,71,1999,6,Male,33.92,-118.2,13632,27801,0,754,1,18-25,Low Income,Very Good,0.0
186,61,69,1958,11,Female,36.1,-115.02,18897,38536,72299,705,1,56-65,Lower Middle,Good,1.876
171,43,70,1976,5,Female,34.83,-82.37,24314,49577,142314,694,3,36-45,Upper Middle,Good,2.871
1401,24,71,1995,11,Male,36.81,-119.75,17985,36672,49660,739,2,18-25,Lower Middle,Good,1.354
